miRNA_ID	cotyledon	flower	leaves	mixed	nodules	pod	root	seed	shoot	stem
miR1000_R4_L20	0	0	2.73	0	0	0	2.6	0	0	0
miR1001_R4_L20	0	0	0	0	0	0	0	4.14	0	0
miR1002_R4_L20	0	0	7.0	0	0	0	0	0	0	0
miR1003_R4_L21	0	3.19	0	0	0	0	0	4.25	0	0
miR1004_R4_L21	0	0	11.29	0	0	0	0	0	0	0
miR1005_R4_L20	0	0	0	0	0	0	0	3.94	0	0
miR1006_R4_L20	0	0	0	0	0	0	3.4	0	0	0
miR1007_R4_L21	0	0	4.74	0	0	0	0	0	0	0
miR1008_R4_L21	0	0	0	0	0	0	0	4.16	0	0
miR1009_R4_L20	0	7.11	0	0	0	0	0	0	0	0
miR100_R191_L20	5.63	5.83	5.72	0	3.59	5.91	6.4	5.9	0	5.7
miR1010_R4_L22	0	0	0	0	0	3.63	3.51	0	0	3.7
miR1011_R4_L22	0	0	2.91	0	0	0	0	0	0	0
miR1012_R4_L20	3.8	0	0	0	0	0	0	3.44	0	4.69
miR1013_R4_L21	0	0	0	0	0	0	0	5.3	0	0
miR1014_R4_L21	0	0	6.95	0	0	0	0	0	0	4.73
miR1015_R4_L21	0	0	0	0	0	0	0	4.13	0	0
miR1016_R4_L22	5.69	0	0	0	0	0	0	0	5.28	0
miR1017_R4_L22	0	0	0	0	0	3.42	0	0	0	3.27
miR1018_R4_L22	0	0	0	0	0	0	0	4.14	0	0
miR1019_R4_L21	0	0	5.0	0	0	0	0	0	0	0
miR101_R187_L22	3.33	4.88	3.89	0	3.33	0	0	4.14	3.39	4.51
miR1020_R4_L21	0	0	2.9	0	0	0	0	0	0	0
miR1021_R4_L21	0	0	0	0	0	0	0	3.17	0	0
miR1022_R4_L22	0	0	3.04	0	0	0	0	3.42	0	0
miR1023_R4_L22	0	0	0	0	0	0	0	3.51	0	0
miR1024_R4_L21	0	0	3.99	0	0	0	0	0	3.04	0
miR1025_R4_L21	0	0	3.24	0	0	0	0	0	0	0
miR1026_R4_L21	2.98	0	0	0	0	0	3.35	7.4	0	0
miR1027_R4_L21	5.08	0	2.85	0	0	0	0	5.47	0	0
miR1028_R4_L21	0	0	2.88	0	0	0	0	0	0	0
miR1029_R4_L21	0	0	4.23	0	0	0	0	0	2.71	0
miR102_R187_L22	9.66	7.45	8.63	0	10.89	5.64	9.31	7.26	9.99	6.19
miR1030_R4_L22	0	0	0	0	0	0	0	3.0	0	0
miR1031_R4_L21	0	0	2.81	0	0	0	0	0	0	0
miR1032_R4_L21	0	0	3.72	0	0	0	0	0	0	0
miR1033_R4_L22	0	0	0	0	0	0	0	2.97	0	0
miR1034_R4_L20	0	2.98	0	0	0	0	0	0	0	0
miR1035_R4_L21	0	0	3.64	0	0	0	0	0	0	0
miR1036_R4_L22	0	0	3.37	0	0	0	0	0	4.55	0
miR1037_R4_L21	3.12	0	4.29	0	0	0	0	0	3.53	0
miR1038_R4_L22	4.21	3.34	0	0	0	0	0	0	3.78	0
miR1039_R4_L22	0	0	0	0	0	2.83	3.18	2.89	3.56	0
miR103_R177_L21	4.15	9.16	5.17	0	0	6.84	0	4.64	7.08	3.32
miR1040_R4_L21	0	0	3.86	0	0	0	4.98	0	0	0
miR1041_R4_L22	0	0	4.64	0	0	0	0	2.76	0	0
miR1042_R4_L21	6.07	0	8.11	0	0	0	0	0	0	0
miR1043_R4_L22	0	0	0	0	0	0	0	0	3.92	3.28
miR1044_R4_L22	0	4.14	5.81	0	0	0	0	0	5.88	0
miR1045_R4_L22	2.64	0	0	3.06	0	0	0	0	4.65	0
miR1046_R4_L21	0	4.38	4.58	0	0	0	9.17	0	0	0
miR1047_R4_L22	0	0	3.93	0	0	0	4.06	0	0	0
miR1048_R4_L22	3.33	0	0	0	0	0	0	0	5.29	0
miR1049_R4_L21	0	0	4.21	0	0	0	0	0	0	0
miR104_R174_L22	6.46	5.27	4.43	5.33	0	5.41	5.66	5.61	7.32	5.5
miR1050_R4_L22	2.79	0	0	0	0	0	0	0	3.4	0
miR1051_R4_L21	0	0	4.74	0	0	0	0	4.6	0	0
miR1052_R4_L21	0	0	3.89	0	0	0	0	0	0	0
miR1053_R4_L21	0	0	4.49	0	0	0	0	0	0	0
miR1054_R4_L21	0	0	0	0	0	0	0	0	4.34	0
miR1055_R4_L21	0	0	5.67	0	0	0	0	0	4.25	0
miR1056_R4_L21	0	0	6.07	0	0	0	0	0	0	0
miR1057_R4_L22	0	0	4.54	0	0	0	0	0	7.73	0
miR1058_R4_L21	0	0	0	0	0	0	7.72	0	0	0
miR1059_R4_L22	0	0	3.88	0	0	0	0	0	4.99	0
miR105_R172_L21	0	3.24	5.45	0	2.77	0	0	0	0	4.47
miR1060_R4_L22	0	0	0	0	0	0	0	0	4.09	0
miR1061_R4_L21	0	0	3.91	0	0	0	0	0	0	0
miR1062_R4_L23	0	0	0	0	4.73	0	0	0	0	0
miR1063_R4_L22	0	0	6.49	0	0	0	0	0	0	0
miR1064_R4_L20	0	0	0	0	0	0	4.84	0	0	0
miR1065_R4_L21	0	0	5.3	5.43	0	0	0	0	0	0
miR1066_R4_L20	0	0	0	0	0	0	0	3.93	0	0
miR1067_R4_L20	0	0	0	0	0	0	5.05	0	0	0
miR1068_R4_L20	0	0	0	0	0	0	0	3.01	0	0
miR1069_R4_L22	0	0	0	0	0	0	0	4.72	0	0
miR106_R169_L21	9.6	8.33	9.47	3.8	0	7.06	6.81	7.46	8.36	9.12
miR1070_R4_L22	0	0	0	0	0	0	4.35	0	0	0
miR1071_R4_L22	0	0	0	0	4.03	0	0	0	0	0
miR1072_R4_L22	0	0	5.36	0	0	0	0	0	6.2	0
miR1073_R3_L20	0	0	0	0	0	0	0	3.41	0	0
miR1074_R3_L22	0	0	0	0	0	0	3.14	0	0	0
miR1075_R3_L21	0	5.01	3.32	0	0	0	0	0	0	2.71
miR1076_R3_L22	0	0	2.89	0	0	0	0	0	0	0
miR1077_R3_L21	4.9	0	0	0	0	0	0	9.35	0	0
miR1078_R3_L22	3.51	0	0	0	0	0	0	0	0	0
miR1079_R3_L21	0	5.52	0	0	0	0	0	2.7	0	0
miR107_R164_L21	5.93	4.73	5.02	5.34	0	4.1	2.81	3.84	0	4.57
miR1080_R3_L22	0	4.22	0	0	0	0	6.25	9.64	0	0
miR1081_R3_L21	0	0	3.58	0	0	0	0	0	2.64	0
miR1082_R3_L21	0	0	2.68	0	0	0	0	0	0	0
miR1083_R3_L21	0	3.64	0	0	0	0	0	0	0	0
miR1084_R3_L22	0	0	0	0	0	0	0	0	0	3.94
miR1085_R3_L21	0	0	2.81	0	0	0	0	0	0	0
miR1086_R3_L21	0	0	3.19	0	0	0	0	0	0	0
miR1087_R3_L21	0	0	4.03	0	0	0	0	0	0	0
miR1088_R3_L22	0	0	0	0	0	0	0	4.36	0	0
miR1089_R3_L21	0	2.69	2.93	0	0	0	0	0	0	0
miR108_R161_L21	3.71	5.46	6.17	5.03	0	5.4	5.89	4.83	0	6.92
miR1090_R3_L22	0	0	0	0	0	0	0	4.18	0	0
miR1091_R3_L22	0	3.22	2.8	0	0	0	0	0	0	0
miR1092_R3_L21	0	0	0	0	0	0	2.77	0	0	0
miR1093_R3_L21	0	0	0	0	0	0	0	2.8	0	0
miR1094_R3_L21	0	0	0	0	0	0	3.87	0	0	0
miR1095_R3_L22	0	0	0	0	0	0	0	4.12	0	0
miR1096_R3_L22	0	0	2.99	0	0	0	0	3.44	0	3.14
miR1097_R3_L21	0	0	3.79	0	0	0	0	0	0	0
miR1098_R3_L20	3.64	0	0	0	0	0	2.67	0	0	0
miR1099_R3_L21	3.17	0	2.93	0	0	0	0	2.94	0	0
miR109_R160_L21	0	3.85	4.84	3.72	0	3.85	0	5.14	3.07	3.66
miR10_R708_L20	10.36	6.45	9.75	12.91	11.45	5.16	11.85	8.79	8.14	9.1
