miRNA_ID	Seq-ID	Family	miRNA_loci	Group	Library_detection_count	Detection_bin
gma-miR10197	miR265_R47_L21	gma-miR10197	gma-miR10197	canonical	47	11-50
gma-miR10197.v1	miR473_R17_L21	gma-miR10197	gma-miR10197	isomiR	17	11-50
gma-miR10414b	miR239_R56_L22	gma-miR10414	gma-miR10414b	canonical	56	51-100
gma-miR10414b.v1	miR314_R34_L22	gma-miR10414	gma-miR10414b	isomiR	34	11-50
gma-miR10421a	miR60_R317_L22	gma-miR10421	gma-miR10421a	canonical	317	>100
gma-miR10421a.v1	miR769_R7_L22	gma-miR10421	gma-miR10421a	isomiR	7	6-10
gma-miR10421b	miR60_R317_L22	gma-miR10421	gma-miR10421b	canonical	317	>100
gma-miR10421b.v1	miR769_R7_L22	gma-miR10421	gma-miR10421b	isomiR	7	6-10
gma-miR10421c	miR60_R317_L22	gma-miR10421	gma-miR10421c	canonical	317	>100
gma-miR10421c.v1	miR769_R7_L22	gma-miR10421	gma-miR10421c	isomiR	7	6-10
gma-miR10438	miR98_R193_L22	gma-miR10438	gma-miR10438	canonical	193	>100
gma-miR10438.v1	miR361_R27_L22	gma-miR10438	gma-miR10438	isomiR	27	11-50
gma-miR10439	miR240_R55_L21	gma-miR10439	gma-miR10439	canonical	55	51-100
gma-miR10439.v1	miR1429_R2_L22	gma-miR10439	gma-miR10439	isomiR	2	2-5
gma-miR10440	miR61_R311_L21	gma-miR10440	gma-miR10440	canonical	311	>100
gma-miR10440-5p	miR168_R96_L21	gma-miR10440	gma-miR10440	canonical	96	51-100
gma-miR10440-5p.v1	miR367_R27_L22	gma-miR10440	gma-miR10440	isomiR	27	11-50
gma-miR10440.v1	miR153_R105_L21	gma-miR10440	gma-miR10440	isomiR	105	>100
gma-miR10442	miR113_R156_L21	gma-miR10442	gma-miR10442	canonical	156	>100
gma-miR10442.v1	miR197_R73_L21	gma-miR10442	gma-miR10442	isomiR	73	51-100
gma-miR10448a	miR38_R445_L22	gma-miR10448	gma-miR10448a	canonical	445	>100
gma-miR10448a.v1	miR579_R11_L22	gma-miR10448	gma-miR10448a	isomiR	11	11-50
gma-miR12203	miR544_R12_L21	gma-miR12203	gma-miR12203	canonical	12	11-50
