Canonical_miRNA_ID	Canonical_Seq_ID	Canonical_library_detection_count	IsomiR_miRNA_ID	IsomiR_Seq_ID	IsomiR_library_detection_count	Canonical_detected	Family	miRNA_loci
gma-miR10197	miR265_R47_L21	47	gma-miR10197.v1	miR473_R17_L21	17	yes	gma-miR10197	gma-miR10197
gma-miR10414b	miR239_R56_L22	56	gma-miR10414b.v1	miR314_R34_L22	34	yes	gma-miR10414	gma-miR10414b
gma-miR10421a	miR60_R317_L22	317	gma-miR10421a.v1	miR769_R7_L22	7	yes	gma-miR10421	gma-miR10421a
gma-miR10421b	miR60_R317_L22	317	gma-miR10421b.v1	miR769_R7_L22	7	yes	gma-miR10421	gma-miR10421b
gma-miR10421c	miR60_R317_L22	317	gma-miR10421c.v1	miR769_R7_L22	7	yes	gma-miR10421	gma-miR10421c
gma-miR10438	miR98_R193_L22	193	gma-miR10438.v1	miR361_R27_L22	27	yes	gma-miR10438	gma-miR10438
gma-miR10439	miR240_R55_L21	55	gma-miR10439.v1	miR1429_R2_L22	2	yes	gma-miR10439	gma-miR10439
gma-miR10440-5p	miR168_R96_L21	96	gma-miR10440-5p.v1	miR367_R27_L22	27	yes	gma-miR10440	gma-miR10440
gma-miR10440	miR61_R311_L21	311	gma-miR10440.v1	miR153_R105_L21	105	yes	gma-miR10440	gma-miR10440
gma-miR10442	miR113_R156_L21	156	gma-miR10442.v1	miR197_R73_L21	73	yes	gma-miR10442	gma-miR10442
gma-miR10448a	miR38_R445_L22	445	gma-miR10448a.v1	miR579_R11_L22	11	yes	gma-miR10448	gma-miR10448a
gma-miR12203	miR544_R12_L21	12	gma-miR12203.v1	miR166_R97_L21	97	yes	gma-miR12203	gma-miR12203
gma-miR12203	miR544_R12_L21	12	gma-miR12203.v2	miR1237_R3_L22	3	yes	gma-miR12203	gma-miR12203
gma-miR12203	miR544_R12_L21	12	gma-miR12203.v3	miR1520_R2_L22	2	yes	gma-miR12203	gma-miR12203
gma-miR12209b	miR451_R18_L21	18	gma-miR12209b.v1	miR589_R11_L20	11	yes	gma-miR12209	gma-miR12209b
gma-miR12213a	miR155_R104_L20	104	gma-miR12213a.v1	miR309_R36_L21	36	yes	gma-miR12213	gma-miR12213a
gma-miR12213a	miR155_R104_L20	104	gma-miR12213a.v2	miR1443_R2_L22	2	yes	gma-miR12213	gma-miR12213a
gma-miR12214a	miR717_R8_L22	8	gma-miR12214a.v1	miR268_R45_L22	45	yes	gma-miR12214	gma-miR12214a
gma-miR12214a	miR717_R8_L22	8	gma-miR12214a.v2	miR743_R7_L21	7	yes	gma-miR12214	gma-miR12214a
gma-miR12269l	miR318_R33_L22	33	gma-miR12269l.v1	miR674_R8_L22	8	yes	gma-miR12269	gma-miR12269l
gma-miR12367b	miR351_R28_L22	28	gma-miR12367b.v1	miR311_R35_L22	35	yes	gma-miR12367	gma-miR12367b
gma-miR12376a	miR334_R31_L22	31	gma-miR12376a.v1	miR908_R5_L21	5	yes	gma-miR12376	gma-miR12376a
gma-miR12376b	miR334_R31_L22	31	gma-miR12376b.v1	miR908_R5_L21	5	yes	gma-miR12376	gma-miR12376b
gma-miR12392a	miR157_R103_L22	103	gma-miR12392a.v1	miR1467_R2_L21	2	yes	gma-miR12392	gma-miR12392a
gma-miR12392b	miR157_R103_L22	103	gma-miR12392b.v1	miR1190_R3_L21	3	yes	gma-miR12392	gma-miR12392b
gma-miR12393	miR258_R49_L21	49	gma-miR12393.v1	miR876_R5_L21	5	yes	gma-miR12393	gma-miR12393
gma-miR12410e	miR406_R23_L21	23	gma-miR12410e.v1	miR581_R11_L21	11	yes	gma-miR12410	gma-miR12410e
gma-miR12410h-3p	miR1458_R2_L21	2	gma-miR12410h-3p.v1	miR1305_R2_L21	2	yes	gma-miR12410	gma-miR12410h
gma-miR12410h	miR406_R23_L21	23	gma-miR12410h.v1	miR581_R11_L21	11	yes	gma-miR12410	gma-miR12410h
gma-miR12410j	miR406_R23_L21	23	gma-miR12410j.v1	miR581_R11_L21	11	yes	gma-miR12410	gma-miR12410j
gma-miR12920	miR225_R61_L22	61	gma-miR12920.v1	miR1287_R2_L21	2	yes	gma-miR12920	gma-miR12920
gma-miR13146a	miR730_R7_L22	7	gma-miR13146a.v1	miR978_R4_L21	4	yes	gma-miR13146	gma-miR13146a
gma-miR13146b	miR730_R7_L22	7	gma-miR13146b.v1	miR978_R4_L21	4	yes	gma-miR13146	gma-miR13146b
gma-miR13146c	miR730_R7_L22	7	gma-miR13146c.v1	miR978_R4_L21	4	yes	gma-miR13146	gma-miR13146c
gma-miR13639	miR337_R31_L20	31	gma-miR13639.v1	miR380_R26_L21	26	yes	gma-miR13639	gma-miR13639
gma-miR13837	miR1002_R4_L20	4	gma-miR13837.v1	miR553_R12_L21	12	yes	gma-miR13837	gma-miR13837
gma-miR13877c	miR185_R84_L22	84	gma-miR13877c.v1	miR428_R20_L22	20	yes	gma-miR13877	gma-miR13877c
gma-miR13986	miR234_R58_L21	58	gma-miR13986.v1	miR1564_R2_L21	2	yes	gma-miR13986	gma-miR13986
gma-miR14289	miR140_R123_L22	123	gma-miR14289.v1	miR1364_R2_L22	2	yes	gma-miR14289	gma-miR14289
gma-miR14289a	miR140_R123_L22	123	gma-miR14289a.v1	miR1364_R2_L22	2	yes	gma-miR14289	gma-miR14289a
gma-miR14589	miR424_R21_L21	21	gma-miR14589.v1	miR526_R13_L21	13	yes	gma-miR14589	gma-miR14589
gma-miR14645a	miR568_R12_L22	12	gma-miR14645a.v1	miR860_R6_L21	6	yes	gma-miR14645	gma-miR14645a
gma-miR14645b	miR568_R12_L22	12	gma-miR14645b.v1	miR860_R6_L21	6	yes	gma-miR14645	gma-miR14645b
gma-miR14645c	miR568_R12_L22	12	gma-miR14645c.v1	miR860_R6_L21	6	yes	gma-miR14645	gma-miR14645c
gma-miR14645d	miR568_R12_L22	12	gma-miR14645d.v1	miR860_R6_L21	6	yes	gma-miR14645	gma-miR14645d
gma-miR14645e	miR568_R12_L22	12	gma-miR14645e.v1	miR860_R6_L21	6	yes	gma-miR14645	gma-miR14645e
gma-miR14645f	miR568_R12_L22	12	gma-miR14645f.v1	miR860_R6_L21	6	yes	gma-miR14645	gma-miR14645f
gma-miR14645j	miR568_R12_L22	12	gma-miR14645j.v1	miR860_R6_L21	6	yes	gma-miR14645	gma-miR14645j
gma-miR14645l	miR568_R12_L22	12	gma-miR14645l.v1	miR860_R6_L21	6	yes	gma-miR14645	gma-miR14645l
gma-miR14645m	miR568_R12_L22	12	gma-miR14645m.v1	miR860_R6_L21	6	yes	gma-miR14645	gma-miR14645m
gma-miR14645n	miR568_R12_L22	12	gma-miR14645n.v1	miR860_R6_L21	6	yes	gma-miR14645	gma-miR14645n
gma-miR14846a	miR493_R15_L21	15	gma-miR14846a.v1	miR1473_R2_L21	2	yes	gma-miR14846	gma-miR14846a
gma-miR14939b	miR928_R5_L21	5	gma-miR14939b.v1	miR388_R25_L22	25	yes	gma-miR14939	gma-miR14939b
gma-miR1507a	miR9_R713_L22	713	gma-miR1507a.v1	miR201_R72_L21	72	yes	gma-miR1507	gma-miR1507a
gma-miR1507b	miR201_R72_L21	72	gma-miR1507b.v1	miR9_R713_L22	713	yes	gma-miR1507	gma-miR1507b
gma-miR1507c-3p		0	gma-miR1507c-3p.v1	miR51_R340_L22	340	no	gma-miR1507	gma-miR1507c
gma-miR1507c-3p		0	gma-miR1507c-3p.v2	miR213_R67_L22	67	no	gma-miR1507	gma-miR1507c
gma-miR1507c-5p	miR355_R28_L21	28	gma-miR1507c-5p.v1	miR99_R193_L21	193	yes	gma-miR1507	gma-miR1507c
gma-miR1507c-5p	miR355_R28_L21	28	gma-miR1507c-5p.v2	miR719_R8_L22	8	yes	gma-miR1507	gma-miR1507c
gma-miR1507c-5p	miR355_R28_L21	28	gma-miR1507c-5p.v3	miR739_R7_L20	7	yes	gma-miR1507	gma-miR1507c
gma-miR1508b	miR21_R644_L21	644	gma-miR1508b.v1	miR1402_R2_L22	2	yes	gma-miR1508	gma-miR1508b
gma-miR1509a	miR3_R751_L22	751	gma-miR1509a.v1	miR797_R6_L21	6	yes	gma-miR1509	gma-miR1509a
gma-miR1509b		0	gma-miR1509b.v1	miR42_R402_L22	402	no	gma-miR1509	gma-miR1509b
gma-miR1509b		0	gma-miR1509b.v2	miR294_R39_L20	39	no	gma-miR1509	gma-miR1509b
gma-miR1510a-3p		0	gma-miR1510a-3p.v1	miR58_R319_L21	319	no	gma-miR1510	gma-miR1510a
gma-miR1510a-3p		0	gma-miR1510a-3p.v2	miR483_R15_L22	15	no	gma-miR1510	gma-miR1510a
gma-miR1510a-3p		0	gma-miR1510a-3p.v3	miR1080_R3_L22	3	no	gma-miR1510	gma-miR1510a
gma-miR1510a-5p		0	gma-miR1510a-5p.v1	miR45_R376_L21	376	no	gma-miR1510	gma-miR1510a
