miRNA_ID	Seq-ID	miRNA_loci	Expected_canonical_ID
Gma-miR4348b.v1	miR1485_R2_L21	Gma-miR4348b	Gma-miR4348b
Gma-miR9745.v1	miR772_R7_L22	Gma-miR9745	Gma-miR9745
Gma-miRN1260a.v1	miR311_R35_L22	Gma-miRN1260a	Gma-miRN1260a
Gma-miRN1260d.v1	miR311_R35_L22	Gma-miRN1260d	Gma-miRN1260d
Gma-miRN1300.v1	miR916_R5_L22	Gma-miRN1300	Gma-miRN1300
Gma-miRN1306.v1	miR623_R10_L21	Gma-miRN1306	Gma-miRN1306
gma-miR1507c-3p.v1	miR51_R340_L22	gma-miR1507c	gma-miR1507c-3p
gma-miR1507c-3p.v2	miR213_R67_L22	gma-miR1507c	gma-miR1507c-3p
gma-miR1508a.v1	miR21_R644_L21	gma-miR1508a	gma-miR1508a
gma-miR1508a.v2	miR1402_R2_L22	gma-miR1508a	gma-miR1508a
gma-miR1509b.v1	miR42_R402_L22	gma-miR1509b	gma-miR1509b
gma-miR1509b.v2	miR294_R39_L20	gma-miR1509b	gma-miR1509b
gma-miR1510a-3p.v1	miR58_R319_L21	gma-miR1510a	gma-miR1510a-3p
gma-miR1510a-3p.v2	miR483_R15_L22	gma-miR1510a	gma-miR1510a-3p
gma-miR1510a-3p.v3	miR1080_R3_L22	gma-miR1510a	gma-miR1510a-3p
gma-miR1510a-5p.v1	miR45_R376_L21	gma-miR1510a	gma-miR1510a-5p
gma-miR1512a-3p.v1	miR724_R7_L21	gma-miR1512a	gma-miR1512a-3p
gma-miR1513c.v1	miR74_R274_L21	gma-miR1513c	gma-miR1513c
gma-miR1514b-5p.v1	miR723_R7_L22	gma-miR1514b	gma-miR1514b-5p
gma-miR1523a.v1	miR111_R157_L21	gma-miR1523a	gma-miR1523a
gma-miR1531-5p.v1	miR757_R7_L22	gma-miR1531	gma-miR1531-5p
gma-miR1535a.v1	miR716_R8_L22	gma-miR1535a	gma-miR1535a
gma-miR156e.v1	miR33_R465_L21	gma-miR156e	gma-miR156e
gma-miR156e.v2	miR1271_R2_L20	gma-miR156e	gma-miR156e
gma-miR156f.v1	miR204_R71_L21	gma-miR156f	gma-miR156f
gma-miR156g.v1	miR33_R465_L21	gma-miR156g	gma-miR156g
gma-miR156g.v2	miR1271_R2_L20	gma-miR156g	gma-miR156g
gma-miR156k.v1	miR10_R708_L20	gma-miR156k	gma-miR156k
gma-miR156k.v2	miR517_R14_L22	gma-miR156k	gma-miR156k
gma-miR156n.v1	miR10_R708_L20	gma-miR156n	gma-miR156n
gma-miR156n.v2	miR517_R14_L22	gma-miR156n	gma-miR156n
gma-miR156o.v1	miR10_R708_L20	gma-miR156o	gma-miR156o
gma-miR156o.v2	miR517_R14_L22	gma-miR156o	gma-miR156o
gma-miR162a.v1	miR4_R751_L21	gma-miR162a	gma-miR162a
gma-miR162a.v2	miR887_R5_L22	gma-miR162a	gma-miR162a
gma-miR166a-3p.v1	miR344_R29_L22	gma-miR166a	gma-miR166a-3p
gma-miR166a-3p.v2	miR734_R7_L21	gma-miR166a	gma-miR166a-3p
gma-miR166a-3p.v3	miR815_R6_L22	gma-miR166a	gma-miR166a-3p
gma-miR166a-3p.v4	miR976_R4_L21	gma-miR166a	gma-miR166a-3p
gma-miR166b.v1	miR39_R433_L22	gma-miR166b	gma-miR166b
gma-miR166b.v2	miR87_R214_L22	gma-miR166b	gma-miR166b
gma-miR166b.v3	miR126_R138_L21	gma-miR166b	gma-miR166b
gma-miR166c-3p.v1	miR39_R433_L22	gma-miR166c	gma-miR166c-3p
gma-miR166c-3p.v2	miR126_R138_L21	gma-miR166c	gma-miR166c-3p
gma-miR166c-3p.v3	miR138_R123_L21	gma-miR166c	gma-miR166c-3p
gma-miR166c-3p.v4	miR344_R29_L22	gma-miR166c	gma-miR166c-3p
gma-miR166d.v1	miR1_R795_L21	gma-miR166d	gma-miR166d
