miRNA_ID	Seq-ID	miRNA_loci	Expected_canonical_ID	Reason
gma-miR1510a-5p.v1	miR45_R376_L21	gma-miR1510a	gma-miR1510a-5p	no detected canonical and only one distinct isomiR sequence
gma-miR1512a-3p.v1	miR724_R7_L21	gma-miR1512a	gma-miR1512a-3p	no detected canonical and only one distinct isomiR sequence
gma-miR1513c.v1	miR74_R274_L21	gma-miR1513c	gma-miR1513c	no detected canonical and only one distinct isomiR sequence
gma-miR1514b-5p.v1	miR723_R7_L22	gma-miR1514b	gma-miR1514b-5p	no detected canonical and only one distinct isomiR sequence
gma-miR1523a.v1	miR111_R157_L21	gma-miR1523a	gma-miR1523a	no detected canonical and only one distinct isomiR sequence
gma-miR1531-5p.v1	miR757_R7_L22	gma-miR1531	gma-miR1531-5p	no detected canonical and only one distinct isomiR sequence
gma-miR1535a.v1	miR716_R8_L22	gma-miR1535a	gma-miR1535a	no detected canonical and only one distinct isomiR sequence
gma-miR156f.v1	miR204_R71_L21	gma-miR156f	gma-miR156f	no detected canonical and only one distinct isomiR sequence
gma-miR166i-5p.v1	miR477_R16_L21	gma-miR166i	gma-miR166i-5p	no detected canonical and only one distinct isomiR sequence
gma-miR167k.v1	miR460_R17_L21	gma-miR167k	gma-miR167k	no detected canonical and only one distinct isomiR sequence
gma-miR169i-5p.v1	miR383_R25_L23	gma-miR169i	gma-miR169i-5p	no detected canonical and only one distinct isomiR sequence
gma-miR172d.v1	miR115_R154_L21	gma-miR172d	gma-miR172d	no detected canonical and only one distinct isomiR sequence
gma-miR172e.v1	miR115_R154_L21	gma-miR172e	gma-miR172e	no detected canonical and only one distinct isomiR sequence
gma-miR172f.v1	miR56_R325_L21	gma-miR172f	gma-miR172f	no detected canonical and only one distinct isomiR sequence
gma-miR172g.v1	miR817_R6_L21	gma-miR172g	gma-miR172g	no detected canonical and only one distinct isomiR sequence
gma-miR319i.v1	miR23_R599_L22	gma-miR319i	gma-miR319i	no detected canonical and only one distinct isomiR sequence
gma-miR390a-3p.v1	miR251_R51_L21	gma-miR390a	gma-miR390a-3p	no detected canonical and only one distinct isomiR sequence
gma-miR390c.v1	miR251_R51_L21	gma-miR390c	gma-miR390c	no detected canonical and only one distinct isomiR sequence
gma-miR394a-3p.v1	miR348_R29_L21	gma-miR394a	gma-miR394a-3p	no detected canonical and only one distinct isomiR sequence
gma-miR396a-3p.v1	miR124_R144_L21	gma-miR396a	gma-miR396a-3p	no detected canonical and only one distinct isomiR sequence
gma-miR408b-5p.v1	miR467_R17_L21	gma-miR408b	gma-miR408b-5p	no detected canonical and only one distinct isomiR sequence
gma-miR408d.v1	miR5_R745_L21	gma-miR408d	gma-miR408d	no detected canonical and only one distinct isomiR sequence
gma-miR4351.v1	miR610_R10_L21	gma-miR4351	gma-miR4351	no detected canonical and only one distinct isomiR sequence
gma-miR4352a.v1	miR1109_R3_L21	gma-miR4352a	gma-miR4352a	no detected canonical and only one distinct isomiR sequence
gma-miR4366.v1	miR731_R7_L22	gma-miR4366	gma-miR4366	no detected canonical and only one distinct isomiR sequence
gma-miR4412-3p.v1	miR160_R100_L21	gma-miR4412	gma-miR4412-3p	no detected canonical and only one distinct isomiR sequence
gma-miR4414a-3p.v1	miR925_R5_L21	gma-miR4414a	gma-miR4414a-3p	no detected canonical and only one distinct isomiR sequence
gma-miR5041-5p.v1	miR151_R107_L21	gma-miR5041	gma-miR5041-5p	no detected canonical and only one distinct isomiR sequence
gma-miR530a.v1	miR107_R164_L21	gma-miR530a	gma-miR530a	no detected canonical and only one distinct isomiR sequence
gma-miR5786.v1	miR133_R128_L22	gma-miR5786	gma-miR5786	no detected canonical and only one distinct isomiR sequence
gma-miR9725.v1	miR678_R8_L22	gma-miR9725	gma-miR9725	no detected canonical and only one distinct isomiR sequence
gma-miR9738.v1	miR1566_R2_L22	gma-miR9738	gma-miR9738	no detected canonical and only one distinct isomiR sequence
