Family	Reported	Unreported	isomiRs	Total	isomiR_percentage
gma-miR166	6	23	59	88	67.05
gma-miR319	15	1	52	68	76.47
gma-miR169	19	12	38	69	55.07
gma-miR156	17	19	34	70	48.57
gma-miR393	10	7	28	45	62.22
gma-miR395	10	19	25	54	46.30
gma-miR164	11	14	22	47	46.81
gma-miR171	21	14	18	53	33.96
gma-miR167	8	6	17	31	54.84
gma-miR482	5	2	16	23	69.57
gma-miR396	9	4	14	27	51.85
gma-miR160	8	2	14	24	58.33
gma-miRN13170	0	11	13	24	54.17
gma-miR14645	5	10	10	25	40.00
gma-miR2111	5	6	10	21	47.62
gma-miR159	5	5	10	20	50.00
gma-miR390	5	5	10	20	50.00
gma-miR172	10	9	9	28	32.14
gma-miR5038	2	1	9	12	75.00
gma-miR862	0	2	9	11	81.82
gma-miR1507	3	2	7	12	58.33
gma-miR5770	2	3	7	12	58.33
gma-miR4413	1	3	7	11	63.64
gma-miR1510	2	0	7	9	77.78
gma-miR12410	4	13	6	23	26.09
gma-miRN17742	0	4	6	10	60.00
gma-miRN520	3	0	6	9	66.67
gma_miRNC0018	0	0	6	6	100.00
gma-miR4416	3	5	5	13	38.46
gma-miR398	6	1	5	12	41.67
gma-miR397	4	2	5	11	45.45
gma-miR408	5	1	5	11	45.45
gma-miR162	2	2	5	9	55.56
gma-miR2118	4	0	5	9	55.56
gma-miR12269	0	1	5	6	83.33
gma-miR399	18	14	4	36	11.11
gma-miR394	7	15	4	26	15.38
gma_miRNC0002	0	12	4	16	25.00
gma-miR5037	3	2	4	9	44.44
gma_miRNC0012	0	5	4	9	44.44
gma_miRNC0013	0	5	4	9	44.44
gma-miR4415	3	0	4	7	57.14
gma-miR13146	0	2	4	6	66.67
gma-miR4996	1	1	4	6	66.67
gma-miR12263	0	0	4	4	100.00
gma-miRN18397	0	0	4	4	100.00
gma-miR1509	1	4	3	8	37.50
gma-miR10421	1	3	3	7	42.86
gma-miR1512	2	2	3	7	42.86
gma-miR168	1	3	3	7	42.86
