Section	Metric	Group	Value
overall	isomiR_records_total	all	767
overall	isomiR_records_compared	all	682
terminal_change_combination	0,-1	all	131
terminal_change_combination	0,1	all	109
terminal_change_combination	1,0	all	76
terminal_change_combination	1,-1	all	69
terminal_change_combination	-1,0	all	66
terminal_change_combination	-1,1	all	55
terminal_change_combination	1,1	all	13
terminal_change_combination	2,-1	all	12
terminal_change_combination	-2,2	all	11
terminal_change_combination	0,2	all	11
terminal_change_combination	-4,4	all	10
terminal_change_combination	0,-2	all	10
terminal_change_combination	2,-2	all	10
terminal_change_combination	-1,2	all	9
terminal_change_combination	2,0	all	9
terminal_change_combination	-2,1	all	8
terminal_change_combination	3,-2	all	8
terminal_change_combination	-1,-1	all	7
terminal_change_combination	1,-2	all	6
terminal_change_combination	3,-3	all	6
terminal_change_combination	-3,3	all	5
terminal_change_combination	0,0	all	5
terminal_change_combination	-3,2	all	4
terminal_change_combination	4,-4	all	4
terminal_change_combination	-2,0	all	3
terminal_change_combination	0,-3	all	3
terminal_change_combination	7,-7	all	3
terminal_change_combination	-2,-1	all	2
terminal_change_combination	-1,3	all	2
terminal_change_combination	2,-3	all	2
terminal_change_combination	3,-4	all	2
terminal_change_combination	5,-4	all	2
terminal_change_combination	-4,3	all	1
terminal_change_combination	-3,0	all	1
terminal_change_combination	-2,4	all	1
terminal_change_combination	0,3	all	1
terminal_change_combination	2,1	all	1
terminal_change_combination	3,-1	all	1
terminal_change_combination	5,-5	all	1
terminal_change_combination	6,-6	all	1
terminal_change_combination	6,-5	all	1
