miRNA_ID	target_gene	binding_site_count
miR1019_R4_L21	SoyZH13_08G227400	2
miR1061_R4_L21	SoyZH13_17G045100	2
miR37_R447_L22	SoyZH13_13G166000	2
miR400_R24_L22	SoyZH13_04G011800	2
miR503_R14_L21	SoyZH13_17G032500	2
miR715_R8_L20	SoyZH13_06G195500	2
miR754_R7_L21	SoyZH13_18G026100	2
miR971_R4_L21	SoyZH13_13G166000	2
