Pair_type	miRNA_loci	Canonical_miRNA_ID	Canonical_Seq_ID	Chr	H_start	H_end	Strand	miRNA_A	Seq_ID_A	miRNA_B	Seq_ID_B	Pearson_r	Pearson_p	Library_Jaccard	Shared_libraries	Union_libraries	Libraries_A	Libraries_B
canonical-isomiR	Gma-MIR12203	Gma-MIR12203	miR544_R12_L21	10	3654712	3654816	-	Gma-MIR12203	miR544_R12_L21	Gma-MIR12203.v1	miR166_R97_L21	-0.3123538649484338	0.379577747569658	0.0	0	109	12	97
canonical-isomiR	Gma-MIR12203	Gma-MIR12203	miR544_R12_L21	10	3654712	3654816	-	Gma-MIR12203	miR544_R12_L21	Gma-MIR12203.v2	miR1237_R3_L22	0.9999999999999999	0.0	0.0	0	15	12	3
canonical-isomiR	Gma-MIR12203	Gma-MIR12203	miR544_R12_L21	10	3654712	3654816	-	Gma-MIR12203	miR544_R12_L21	Gma-MIR12203.v3	miR1520_R2_L22	-0.1111111111111111	0.759922968348739	0.0	0	14	12	2
isomiR-isomiR	Gma-MIR12203	Gma-MIR12203	miR544_R12_L21	10	3654712	3654816	-	Gma-MIR12203.v1	miR166_R97_L21	Gma-MIR12203.v2	miR1237_R3_L22	-0.31235386494843376	0.3795777475696583	0.0	0	100	97	3
isomiR-isomiR	Gma-MIR12203	Gma-MIR12203	miR544_R12_L21	10	3654712	3654816	-	Gma-MIR12203.v1	miR166_R97_L21	Gma-MIR12203.v3	miR1520_R2_L22	0.2926073562447972	0.41196642470934536	0.0	0	99	97	2
isomiR-isomiR	Gma-MIR12203	Gma-MIR12203	miR544_R12_L21	10	3654712	3654816	-	Gma-MIR12203.v2	miR1237_R3_L22	Gma-MIR12203.v3	miR1520_R2_L22	-0.11111111111111108	0.759922968348739	0.0	0	5	3	2
canonical-isomiR	Gma-MIR12213a	Gma-MIR12213a	miR155_R104_L20	10	50980488	50980598	-	Gma-MIR12213a	miR155_R104_L20	Gma-MIR12213a.v1	miR309_R36_L21	-0.024607580613849322	0.9462035008535423	0.0	0	140	104	36
canonical-isomiR	Gma-MIR12213a	Gma-MIR12213a	miR155_R104_L20	10	50980488	50980598	-	Gma-MIR12213a	miR155_R104_L20	Gma-MIR12213a.v2	miR1443_R2_L22	-0.23145841222923952	0.5199487763331152	0.0	0	106	104	2
isomiR-isomiR	Gma-MIR12213a	Gma-MIR12213a	miR155_R104_L20	10	50980488	50980598	-	Gma-MIR12213a.v1	miR309_R36_L21	Gma-MIR12213a.v2	miR1443_R2_L22	-0.25233780041225173	0.4818361660135797	0.0	0	38	36	2
canonical-isomiR	Gma-MIR12214a	Gma-MIR12214a	miR717_R8_L22	16	30393192	30393252	-	Gma-MIR12214a	miR717_R8_L22	Gma-MIR12214a.v1	miR268_R45_L22	-0.2699306448357607	0.45070185890356695	0.0	0	53	8	45
