Query_ID	Chr	Subject_ID	Genome_start	Genome_end	S_strand	Pident	Qcovs	Aln_Length	Q_length	Q_start	Q_end	S_start	S_end	Evalue	Bitscore	Subject_description
Gma-MIR10186a|PmiREN0012469|Gm06:14627581-14627710(-)	Chr06	GWHAAEV00000006.1	14689188	14689290	minus	90.291	99	103	104	2	104	14689290	14689188	1.43e-32	141	  Chromosome 6   Complete=T   Circular=F   OriSeqID=Chr06   Len=51952677
Gma-MIR10186b|PmiREN0012470|Gm09:6907754-6907850(+)	Chr09	GWHAAEV00000009.1	6864802	6864857	plus	100.000	100	56	56	1	56	6864802	6864857	4.78e-21	102	  Chromosome 9   Complete=T   Circular=F   OriSeqID=Chr09   Len=51486896
Gma-MIR10187|PmiREN0012471|Gm10:12431748-12432013(+)	Chr10	GWHAAEV00000010.1	12788689	12788923	plus	100.000	100	235	235	1	235	12788689	12788923	2.27e-117	425	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
Gma-MIR10188|PmiREN0012472|Gm10:13288207-13288435(+)	Chr10	GWHAAEV00000010.1	13655810	13656015	plus	100.000	100	206	206	1	206	13655810	13656015	1.08e-101	372	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
Gma-MIR10190a|PmiREN0012580|Gm10:49079579-49079849(-)	Chr10	GWHAAEV00000010.1	51530896	51531125	minus	99.565	100	230	230	1	230	51531125	51530896	4.87e-113	411	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
Gma-MIR10190|PmiREN0012473|Gm10:49079588-49079842(-)	Chr10	GWHAAEV00000010.1	51530895	51531126	minus	99.569	100	232	232	1	232	51531126	51530895	4.04e-114	415	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
Gma-MIR10191a|PmiREN0012474|Gm01:51415377-51415472(-)	Chr01	GWHAAEV00000001.1	52768518	52768572	minus	100.000	100	55	55	1	55	52768572	52768518	1.61e-20	100	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
Gma-MIR10191b|PmiREN0012475|Gm11:5838640-5838713(+)	Chr11	GWHAAEV00000011.1	5852667	5852721	plus	98.182	100	55	55	1	55	5852667	5852721	6.85e-19	96.0	  Chromosome 11   Complete=T   Circular=F   OriSeqID=Chr11   Len=40746315
Gma-MIR10192|PmiREN0012476|Gm13:41574372-41574487(+)	Chr13	GWHAAEV00000013.1	43400315	43400389	plus	100.000	100	75	75	1	75	43400315	43400389	3.76e-31	136	  Chromosome 13   Complete=T   Circular=F   OriSeqID=Chr13   Len=47100052
Gma-MIR10193a|PmiREN0012581|Gm11:21127489-21127609(+)	Chr11	GWHAAEV00000011.1	21100692	21100772	plus	96.296	100	81	80	1	80	21100692	21100772	6.17e-29	130	  Chromosome 11   Complete=T   Circular=F   OriSeqID=Chr11   Len=40746315
Gma-MIR10193b|PmiREN0012582|Gm14:20069674-20069773(-)	Chr14	GWHAAEV00000014.1	19971543	19971601	minus	100.000	100	59	59	1	59	19971601	19971543	1.24e-22	107	  Chromosome 14   Complete=T   Circular=F   OriSeqID=Chr14   Len=53013617
Gma-MIR10193d|PmiREN0012479|Gm10:31570126-31570215(+)	Chr10	GWHAAEV00000010.1	33942023	33942072	plus	98.000	100	50	49	1	49	33942023	33942072	3.40e-15	83.3	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
Gma-MIR10193e|PmiREN0012480|Gm04:20795080-20795180(+)	Chr04	GWHAAEV00000004.1	21029342	21029401	plus	100.000	100	60	60	1	60	21029342	21029401	3.67e-23	109	  Chromosome 4   Complete=T   Circular=F   OriSeqID=Chr04   Len=53978414
Gma-MIR10193i|PmiREN0012482|Gm03:14282400-14282527(+)	Chr01	GWHAAEV00000001.1	44488069	44488153	minus	90.698	100	86	87	1	86	44488153	44488069	4.42e-25	116	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
Gma-MIR10193k|PmiREN0012483|Gm08:36039211-36039340(+)	Chr08	GWHAAEV00000008.1	38648498	38648586	plus	98.876	100	89	89	1	89	38648498	38648586	5.21e-37	157	  Chromosome 8   Complete=T   Circular=F   OriSeqID=Chr08   Len=49896852
Gma-MIR10193l|PmiREN0012484|Gm10:24967473-24967720(+)	Chr10	GWHAAEV00000010.1	27217777	27217988	plus	100.000	100	212	212	1	212	27217777	27217988	6.16e-105	383	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
Gma-MIR10195|PmiREN0012485|Gm17:36310366-36310560(+)	Chr17	GWHAAEV00000017.1	36913829	36913982	plus	99.351	100	154	154	1	154	36913829	36913982	5.52e-72	274	  Chromosome 17   Complete=T   Circular=F   OriSeqID=Chr17   Len=42350739
