Query_ID	Chr	Subject_ID	Genome_start	Genome_end	S_strand	Pident	Qcovs	Aln_Length	Q_length	Q_start	Q_end	S_start	S_end	Evalue	Bitscore	Subject_description
gma-MIR10186a	Chr10	GWHAAEV00000010.1	1591182	1591299	plus	100.000	100	118	118	1	118	1591182	1591299	3.23e-54	214	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR10186b	Chr01	GWHAAEV00000001.1	27058654	27058779	plus	100.000	100	126	126	1	126	27058654	27058779	1.60e-58	228	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR10186c	Chr01	GWHAAEV00000001.1	18931194	18931323	minus	100.000	100	130	130	1	130	18931323	18931194	1.12e-60	235	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR10186d	Chr03	GWHAAEV00000003.1	34391610	34391736	plus	100.000	100	127	127	1	127	34391610	34391736	4.62e-59	230	  Chromosome 3   Complete=T   Circular=F   OriSeqID=Chr03   Len=47695029
gma-MIR10186e	Chr06	GWHAAEV00000006.1	14689178	14689306	minus	90.698	100	129	129	1	129	14689306	14689178	7.48e-44	179	  Chromosome 6   Complete=T   Circular=F   OriSeqID=Chr06   Len=51952677
gma-MIR10186f	Chr09	GWHAAEV00000009.1	6864766	6864891	plus	100.000	100	126	126	1	126	6864766	6864891	1.60e-58	228	  Chromosome 9   Complete=T   Circular=F   OriSeqID=Chr09   Len=51486896
gma-MIR10186g	Chr10	GWHAAEV00000010.1	46038460	46038587	plus	100.000	100	128	128	1	128	46038460	46038587	1.34e-59	232	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR10186h	Chr13	GWHAAEV00000013.1	16295589	16295716	plus	100.000	100	128	128	1	128	16295589	16295716	1.34e-59	232	  Chromosome 13   Complete=T   Circular=F   OriSeqID=Chr13   Len=47100052
gma-MIR10186i	Chr14	GWHAAEV00000014.1	2041491	2041648	plus	100.000	100	158	158	1	158	2041491	2041648	9.02e-76	286	  Chromosome 14   Complete=T   Circular=F   OriSeqID=Chr14   Len=53013617
gma-MIR10186j	Chr19	GWHAAEV00000019.1	29320334	29320461	plus	100.000	100	128	128	1	128	29320334	29320461	1.34e-59	232	  Chromosome 19   Complete=T   Circular=F   OriSeqID=Chr19   Len=52317195
gma-MIR10186k	Chr19	GWHAAEV00000019.1	29321047	29321174	plus	100.000	100	128	128	1	128	29321047	29321174	1.34e-59	232	  Chromosome 19   Complete=T   Circular=F   OriSeqID=Chr19   Len=52317195
gma-MIR10186l	Chr19	GWHAAEV00000019.1	29321759	29321886	plus	100.000	100	128	128	1	128	29321759	29321886	1.34e-59	232	  Chromosome 19   Complete=T   Circular=F   OriSeqID=Chr19   Len=52317195
gma-MIR10187	Chr10	GWHAAEV00000010.1	12788657	12788933	plus	100.000	100	277	277	1	277	12788657	12788933	4.33e-140	500	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR10188	Chr10	GWHAAEV00000010.1	13655798	13656025	plus	100.000	100	228	228	1	228	13655798	13656025	1.38e-113	412	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR10189	Chr10	GWHAAEV00000010.1	44976467	44976589	plus	100.000	100	123	123	1	123	44976467	44976589	6.58e-57	223	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR10190	Chr10	GWHAAEV00000010.1	51530885	51531138	minus	99.606	100	254	254	1	254	51531138	51530885	5.11e-126	454	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR10191	Chr11	GWHAAEV00000011.1	5852657	5852729	plus	98.630	100	73	73	1	73	5852657	5852729	1.86e-28	128	  Chromosome 11   Complete=T   Circular=F   OriSeqID=Chr11   Len=40746315
gma-MIR10192	Chr13	GWHAAEV00000013.1	43400305	43400397	plus	100.000	100	93	93	1	93	43400305	43400397	8.79e-41	168	  Chromosome 13   Complete=T   Circular=F   OriSeqID=Chr13   Len=47100052
gma-MIR10193a	Chr16	GWHAAEV00000016.1	23008614	23008705	plus	100.000	100	92	92	1	92	23008614	23008705	3.02e-40	167	  Chromosome 16   Complete=T   Circular=F   OriSeqID=Chr16   Len=38265740
gma-MIR10193b	Chr10	GWHAAEV00000010.1	11225904	11226010	minus	98.131	100	107	107	1	107	11226010	11225904	1.39e-45	185	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR10193c	Chr19	GWHAAEV00000019.1	7560914	7561020	plus	100.000	100	107	107	1	107	7560914	7561020	2.68e-48	194	  Chromosome 19   Complete=T   Circular=F   OriSeqID=Chr19   Len=52317195
gma-MIR10193d	Chr19	GWHAAEV00000019.1	7560914	7561020	plus	100.000	100	107	107	1	107	7560914	7561020	2.68e-48	194	  Chromosome 19   Complete=T   Circular=F   OriSeqID=Chr19   Len=52317195
gma-MIR10193e	Chr04	GWHAAEV00000004.1	21029332	21029410	plus	100.000	100	79	79	1	79	21029332	21029410	2.75e-33	143	  Chromosome 4   Complete=T   Circular=F   OriSeqID=Chr04   Len=53978414
gma-MIR10193f	Chr20	GWHAAEV00000020.1	28634621	28634723	minus	100.000	100	103	103	1	103	28634723	28634621	3.78e-46	187	  Chromosome 20   Complete=T   Circular=F   OriSeqID=Chr20   Len=52284028
gma-MIR10194	Chr17	GWHAAEV00000017.1	13158053	13158232	plus	99.444	100	180	180	1	180	13158053	13158232	5.12e-86	321	  Chromosome 17   Complete=T   Circular=F   OriSeqID=Chr17   Len=42350739
gma-MIR10195	Chr17	GWHAAEV00000017.1	36903589	36903763	minus	99.429	100	175	175	1	175	36903763	36903589	2.56e-83	312	  Chromosome 17   Complete=T   Circular=F   OriSeqID=Chr17   Len=42350739
gma-MIR10196	Chr19	GWHAAEV00000019.1	35425137	35425387	plus	99.602	100	251	251	1	251	35425137	35425387	2.14e-124	449	  Chromosome 19   Complete=T   Circular=F   OriSeqID=Chr19   Len=52317195
gma-MIR10197	Chr01	GWHAAEV00000001.1	35188189	35188289	plus	100.000	100	101	101	1	101	35188189	35188289	4.48e-45	183	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR10198	Chr03	GWHAAEV00000003.1	8721118	8721395	plus	100.000	100	278	278	1	278	8721118	8721395	1.24e-140	502	  Chromosome 3   Complete=T   Circular=F   OriSeqID=Chr03   Len=47695029
gma-MIR10199	Chr03	GWHAAEV00000003.1	40801061	40801127	plus	100.000	100	67	67	1	67	40801061	40801127	6.87e-27	122	  Chromosome 3   Complete=T   Circular=F   OriSeqID=Chr03   Len=47695029
gma-MIR10200	Chr06	GWHAAEV00000006.1	49482883	49483035	minus	99.346	100	153	153	1	153	49483035	49482883	1.91e-71	272	  Chromosome 6   Complete=T   Circular=F   OriSeqID=Chr06   Len=51952677
gma-MIR10201	Chr06	GWHAAEV00000006.1	22216432	22216577	minus	100.000	100	146	146	1	146	22216577	22216432	2.68e-69	264	  Chromosome 6   Complete=T   Circular=F   OriSeqID=Chr06   Len=51952677
gma-MIR10405a	Chr01	GWHAAEV00000001.1	3930661	3930753	plus	100.000	100	93	93	1	93	3930661	3930753	8.79e-41	168	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR10405b	Chr08	GWHAAEV00000008.1	11583184	11583271	plus	100.000	100	88	88	1	88	11583184	11583271	4.20e-38	159	  Chromosome 8   Complete=T   Circular=F   OriSeqID=Chr08   Len=49896852
gma-MIR10405c	Chr08	GWHAAEV00000008.1	43015141	43015222	minus	100.000	100	82	82	1	82	43015222	43015141	6.84e-35	149	  Chromosome 8   Complete=T   Circular=F   OriSeqID=Chr08   Len=49896852
gma-MIR10405d	Chr15	GWHAAEV00000015.1	51415228	51415323	plus	100.000	100	96	96	1	96	51415228	51415323	2.16e-42	174	  Chromosome 15   Complete=T   Circular=F   OriSeqID=Chr15   Len=53421904
gma-MIR10405e	Chr04	GWHAAEV00000004.1	15682262	15682334	plus	100.000	100	73	73	1	73	15682262	15682334	4.38e-30	132	  Chromosome 4   Complete=T   Circular=F   OriSeqID=Chr04   Len=53978414
gma-MIR10406a	Chr01	GWHAAEV00000001.1	10267943	10268132	plus	100.000	100	190	190	1	190	10267943	10268132	4.78e-93	343	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR10406b	Chr10	GWHAAEV00000010.1	37890749	37890938	minus	100.000	100	190	190	1	190	37890938	37890749	4.78e-93	343	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR10407a	Chr01	GWHAAEV00000001.1	29486029	29486127	plus	100.000	100	99	99	1	99	29486029	29486127	5.31e-44	179	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR10407b	Chr15	GWHAAEV00000015.1	32691094	32691203	minus	99.091	100	110	110	1	110	32691203	32691094	2.75e-48	195	  Chromosome 15   Complete=T   Circular=F   OriSeqID=Chr15   Len=53421904
gma-MIR10407c	Chr02	GWHAAEV00000002.1	35583234	35583416	plus	100.000	100	183	183	1	183	35583234	35583416	2.89e-89	331	  Chromosome 2   Complete=T   Circular=F   OriSeqID=Chr02   Len=52160593
gma-MIR10407d	Chr03	GWHAAEV00000003.1	7889145	7889247	minus	97.087	100	103	103	1	103	7889247	7889145	8.33e-42	173	  Chromosome 3   Complete=T   Circular=F   OriSeqID=Chr03   Len=47695029
gma-MIR10408	Chr01	GWHAAEV00000001.1	13282614	13282686	minus	100.000	100	73	73	1	73	13282686	13282614	4.38e-30	132	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR10409	Chr01	GWHAAEV00000001.1	19530833	19530932	minus	100.000	93	100	107	8	107	19530932	19530833	1.69e-44	181	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR10410a	Chr01	GWHAAEV00000001.1	47648016	47648090	minus	100.000	100	75	75	1	75	47648090	47648016	3.76e-31	136	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR10410b	Chr09	GWHAAEV00000009.1	21276309	21276383	minus	100.000	100	75	75	1	75	21276383	21276309	3.76e-31	136	  Chromosome 9   Complete=T   Circular=F   OriSeqID=Chr09   Len=51486896
gma-MIR10410c	Chr01	GWHAAEV00000001.1	47648016	47648090	minus	94.667	100	75	75	1	75	47648090	47648016	1.01e-25	118	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR10411	Chr02	GWHAAEV00000002.1	417294	417551	plus	100.000	100	258	258	1	258	417294	417551	8.24e-130	466	  Chromosome 2   Complete=T   Circular=F   OriSeqID=Chr02   Len=52160593
gma-MIR10412	Chr02	GWHAAEV00000002.1	13661985	13662066	plus	100.000	100	82	82	1	82	13661985	13662066	6.84e-35	149	  Chromosome 2   Complete=T   Circular=F   OriSeqID=Chr02   Len=52160593
gma-MIR10413a	Chr02	GWHAAEV00000002.1	35558404	35558485	minus	100.000	100	82	82	1	82	35558485	35558404	6.84e-35	149	  Chromosome 2   Complete=T   Circular=F   OriSeqID=Chr02   Len=52160593
gma-MIR10413b	Chr04	GWHAAEV00000004.1	33066020	33066090	minus	100.000	100	71	71	1	71	33066090	33066020	5.10e-29	129	  Chromosome 4   Complete=T   Circular=F   OriSeqID=Chr04   Len=53978414
gma-MIR10414	Chr03	GWHAAEV00000003.1	30702290	30702391	plus	100.000	100	102	102	1	102	30702290	30702391	1.30e-45	185	  Chromosome 3   Complete=T   Circular=F   OriSeqID=Chr03   Len=47695029
gma-MIR10415	Chr03	GWHAAEV00000003.1	37054592	37054759	minus	100.000	100	168	168	1	168	37054759	37054592	3.62e-81	304	  Chromosome 3   Complete=T   Circular=F   OriSeqID=Chr03   Len=47695029
gma-MIR10416	Chr04	GWHAAEV00000004.1	46380106	46380227	plus	100.000	100	122	122	1	122	46380106	46380227	2.27e-56	221	  Chromosome 4   Complete=T   Circular=F   OriSeqID=Chr04   Len=53978414
gma-MIR10417	Chr04	GWHAAEV00000004.1	38103143	38103231	minus	100.000	100	89	89	1	89	38103231	38103143	1.22e-38	161	  Chromosome 4   Complete=T   Circular=F   OriSeqID=Chr04   Len=53978414
gma-MIR10418	Chr04	GWHAAEV00000004.1	23145521	23145611	plus	100.000	100	91	91	1	91	23145521	23145611	1.04e-39	165	  Chromosome 4   Complete=T   Circular=F   OriSeqID=Chr04   Len=53978414
gma-MIR10419	Chr05	GWHAAEV00000005.1	43448654	43448829	minus	100.000	100	176	176	1	176	43448829	43448654	1.74e-85	318	  Chromosome 5   Complete=T   Circular=F   OriSeqID=Chr05   Len=45299532
gma-MIR10420	Chr05	GWHAAEV00000005.1	43052061	43052167	minus	100.000	100	107	107	1	107	43052167	43052061	2.68e-48	194	  Chromosome 5   Complete=T   Circular=F   OriSeqID=Chr05   Len=45299532
gma-MIR10421	Chr06	GWHAAEV00000006.1	28362690	28362825	plus	100.000	100	136	136	1	136	28362690	28362825	6.56e-64	246	  Chromosome 6   Complete=T   Circular=F   OriSeqID=Chr06   Len=51952677
gma-MIR10422	Chr06	GWHAAEV00000006.1	26869236	26869364	minus	100.000	100	129	129	1	129	26869364	26869236	3.87e-60	233	  Chromosome 6   Complete=T   Circular=F   OriSeqID=Chr06   Len=51952677
gma-MIR10423	Chr07	GWHAAEV00000007.1	6327856	6327954	minus	100.000	100	99	99	1	99	6327954	6327856	5.31e-44	179	  Chromosome 7   Complete=T   Circular=F   OriSeqID=Chr07   Len=46590119
gma-MIR10424a	Chr07	GWHAAEV00000007.1	14052312	14052468	plus	100.000	100	157	157	1	157	14052312	14052468	3.12e-75	284	  Chromosome 7   Complete=T   Circular=F   OriSeqID=Chr07   Len=46590119
gma-MIR10424b	Chr12	GWHAAEV00000012.1	5179198	5179356	plus	100.000	100	159	159	1	159	5179198	5179356	2.61e-76	288	  Chromosome 12   Complete=T   Circular=F   OriSeqID=Chr12   Len=44494750
gma-MIR10424c	Chr18	GWHAAEV00000018.1	20297385	20297537	plus	100.000	100	153	153	1	153	20297385	20297537	4.49e-73	277	  Chromosome 18   Complete=T   Circular=F   OriSeqID=Chr18   Len=60669500
gma-MIR10424d	Chr19	GWHAAEV00000019.1	9878763	9878912	minus	100.000	100	150	150	1	150	9878912	9878763	1.86e-71	271	  Chromosome 19   Complete=T   Circular=F   OriSeqID=Chr19   Len=52317195
gma-MIR10425	Chr08	GWHAAEV00000008.1	49718721	49718819	minus	96.970	100	99	99	1	99	49718819	49718721	1.17e-39	166	  Chromosome 8   Complete=T   Circular=F   OriSeqID=Chr08   Len=49896852
gma-MIR10426	Chr10	GWHAAEV00000010.1	4535570	4535642	minus	100.000	100	73	73	1	73	4535642	4535570	4.38e-30	132	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR10427a	Chr10	GWHAAEV00000010.1	19814365	19814501	plus	100.000	100	137	137	1	137	19814365	19814501	1.90e-64	248	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR10427b	Chr12	GWHAAEV00000012.1	30629792	30629858	plus	100.000	100	67	67	1	67	30629792	30629858	6.87e-27	122	  Chromosome 12   Complete=T   Circular=F   OriSeqID=Chr12   Len=44494750
gma-MIR10428	Chr12	GWHAAEV00000012.1	9769383	9769832	plus	100.000	100	450	450	1	450	9769383	9769832	0.0	812	  Chromosome 12   Complete=T   Circular=F   OriSeqID=Chr12   Len=44494750
gma-MIR10429	Chr12	GWHAAEV00000012.1	14121102	14121272	minus	100.000	100	171	171	1	171	14121272	14121102	8.70e-83	309	  Chromosome 12   Complete=T   Circular=F   OriSeqID=Chr12   Len=44494750
gma-MIR10430	Chr13	GWHAAEV00000013.1	18183519	18183649	minus	98.473	100	131	131	1	131	18183649	18183519	1.68e-58	228	  Chromosome 13   Complete=T   Circular=F   OriSeqID=Chr13   Len=47100052
gma-MIR10431	Chr13	GWHAAEV00000013.1	29612856	29612966	minus	100.000	100	111	111	1	111	29612966	29612856	1.88e-50	201	  Chromosome 13   Complete=T   Circular=F   OriSeqID=Chr13   Len=47100052
gma-MIR10432	Chr13	GWHAAEV00000013.1	37743450	37743654	minus	100.000	100	205	205	1	205	37743654	37743450	3.74e-101	370	  Chromosome 13   Complete=T   Circular=F   OriSeqID=Chr13   Len=47100052
gma-MIR10433	Chr14	GWHAAEV00000014.1	30768787	30768868	minus	100.000	100	82	82	1	82	30768868	30768787	6.84e-35	149	  Chromosome 14   Complete=T   Circular=F   OriSeqID=Chr14   Len=53013617
gma-MIR10434	Chr15	GWHAAEV00000015.1	13139836	13139988	plus	100.000	100	153	153	1	153	13139836	13139988	4.49e-73	277	  Chromosome 15   Complete=T   Circular=F   OriSeqID=Chr15   Len=53421904
gma-MIR10435	Chr15	GWHAAEV00000015.1	30855810	30856049	minus	99.583	100	240	240	1	240	30856049	30855810	1.91e-118	429	  Chromosome 15   Complete=T   Circular=F   OriSeqID=Chr15   Len=53421904
gma-MIR10436	Chr15	GWHAAEV00000015.1	32395266	32395471	plus	93.548	100	217	217	1	217	32395266	32395471	2.88e-90	334	  Chromosome 15   Complete=T   Circular=F   OriSeqID=Chr15   Len=53421904
gma-MIR10437	Chr16	GWHAAEV00000016.1	16438961	16439166	minus	100.000	100	206	206	1	206	16439166	16438961	1.08e-101	372	  Chromosome 16   Complete=T   Circular=F   OriSeqID=Chr16   Len=38265740
gma-MIR10438	Chr17	GWHAAEV00000017.1	21439654	21439790	minus	100.000	100	137	137	1	137	21439790	21439654	1.90e-64	248	  Chromosome 17   Complete=T   Circular=F   OriSeqID=Chr17   Len=42350739
gma-MIR10439	Chr18	GWHAAEV00000018.1	16399311	16399444	plus	100.000	100	134	134	1	134	16399311	16399444	7.85e-63	242	  Chromosome 18   Complete=T   Circular=F   OriSeqID=Chr18   Len=60669500
gma-MIR10440	Chr18	GWHAAEV00000018.1	51081078	51081328	plus	99.203	100	251	338	1	251	51081078	51081328	3.64e-123	444	  Chromosome 18   Complete=T   Circular=F   OriSeqID=Chr18   Len=60669500
gma-MIR10441	Chr18	GWHAAEV00000018.1	3137851	3138005	minus	100.000	100	155	155	1	155	3138005	3137851	3.75e-74	280	  Chromosome 18   Complete=T   Circular=F   OriSeqID=Chr18   Len=60669500
gma-MIR10442	Chr18	GWHAAEV00000018.1	29690619	29690849	plus	100.000	100	231	231	1	231	29690619	29690849	3.30e-115	417	  Chromosome 18   Complete=T   Circular=F   OriSeqID=Chr18   Len=60669500
gma-MIR10443	Chr19	GWHAAEV00000019.1	51286588	51286693	plus	99.057	100	106	106	1	106	51286588	51286693	3.93e-46	187	  Chromosome 19   Complete=T   Circular=F   OriSeqID=Chr19   Len=52317195
gma-MIR10444	Chr19	GWHAAEV00000019.1	36018009	36018131	minus	100.000	100	123	123	1	123	36018131	36018009	6.58e-57	223	  Chromosome 19   Complete=T   Circular=F   OriSeqID=Chr19   Len=52317195
gma-MIR10445	Chr20	GWHAAEV00000020.1	5420992	5421071	minus	100.000	100	80	80	1	80	5421071	5420992	8.03e-34	145	  Chromosome 20   Complete=T   Circular=F   OriSeqID=Chr20   Len=52284028
gma-MIR10446	Chr20	GWHAAEV00000020.1	35585498	35585600	minus	97.087	99	103	104	1	103	35585600	35585498	8.44e-42	173	  Chromosome 20   Complete=T   Circular=F   OriSeqID=Chr20   Len=52284028
gma-MIR10447	Chr20	GWHAAEV00000020.1	37894896	37895201	minus	100.000	100	306	306	1	306	37895201	37894896	8.73e-156	553	  Chromosome 20   Complete=T   Circular=F   OriSeqID=Chr20   Len=52284028
gma-MIR10448	Chr10	GWHAAEV00000010.1	10440615	10440746	plus	100.000	100	132	132	1	132	10440615	10440746	9.38e-62	239	  Chromosome 10   Complete=T   Circular=F   OriSeqID=Chr10   Len=54067360
gma-MIR1446	Chr08	GWHAAEV00000008.1	538926	539041	minus	99.138	100	116	116	1	116	539041	538926	1.63e-51	205	  Chromosome 8   Complete=T   Circular=F   OriSeqID=Chr08   Len=49896852
gma-MIR1507a	Chr13	GWHAAEV00000013.1	28212574	28212680	plus	100.000	100	107	107	1	107	28212574	28212680	2.68e-48	194	  Chromosome 13   Complete=T   Circular=F   OriSeqID=Chr13   Len=47100052
gma-MIR1507b	Chr17	GWHAAEV00000017.1	5975921	5976018	plus	100.000	100	98	98	1	98	5975921	5976018	1.83e-43	178	  Chromosome 17   Complete=T   Circular=F   OriSeqID=Chr17   Len=42350739
gma-MIR1507c	Chr09	GWHAAEV00000009.1	16474258	16474347	minus	100.000	100	90	90	1	90	16474347	16474258	3.57e-39	163	  Chromosome 9   Complete=T   Circular=F   OriSeqID=Chr09   Len=51486896
gma-MIR1508a	Chr16	GWHAAEV00000016.1	34124733	34124827	plus	100.000	100	95	95	1	95	34124733	34124827	7.44e-42	172	  Chromosome 16   Complete=T   Circular=F   OriSeqID=Chr16   Len=38265740
gma-MIR1508b	Chr16	GWHAAEV00000016.1	34124733	34124827	plus	100.000	100	95	95	1	95	34124733	34124827	7.44e-42	172	  Chromosome 16   Complete=T   Circular=F   OriSeqID=Chr16   Len=38265740
gma-MIR1508c	Chr09	GWHAAEV00000009.1	32856008	32856097	plus	100.000	100	90	90	1	90	32856008	32856097	3.57e-39	163	  Chromosome 9   Complete=T   Circular=F   OriSeqID=Chr09   Len=51486896
gma-MIR1509a	Chr17	GWHAAEV00000017.1	9863914	9864024	plus	100.000	100	111	111	1	111	9863914	9864024	1.88e-50	201	  Chromosome 17   Complete=T   Circular=F   OriSeqID=Chr17   Len=42350739
gma-MIR1509b	Chr05	GWHAAEV00000005.1	1347817	1347925	plus	100.000	100	109	109	1	109	1347817	1347925	2.23e-49	197	  Chromosome 5   Complete=T   Circular=F   OriSeqID=Chr05   Len=45299532
gma-MIR1510a	Chr16	GWHAAEV00000016.1	32507560	32507652	plus	98.925	100	93	93	1	93	32507560	32507652	3.74e-39	164	  Chromosome 16   Complete=T   Circular=F   OriSeqID=Chr16   Len=38265740
gma-MIR1510b	Chr02	GWHAAEV00000002.1	6672215	6672308	plus	100.000	100	94	94	1	94	6672215	6672308	2.56e-41	170	  Chromosome 2   Complete=T   Circular=F   OriSeqID=Chr02   Len=52160593
gma-MIR1511	Chr18	GWHAAEV00000018.1	20653956	20654054	plus	100.000	100	99	99	1	99	20653956	20654054	5.31e-44	179	  Chromosome 18   Complete=T   Circular=F   OriSeqID=Chr18   Len=60669500
gma-MIR1512a	Chr18	GWHAAEV00000018.1	59173230	59173325	plus	97.917	100	96	95	1	95	59173230	59173325	1.34e-38	161	  Chromosome 18   Complete=T   Circular=F   OriSeqID=Chr18   Len=60669500
gma-MIR1512b	Chr02	GWHAAEV00000002.1	8720879	8720967	minus	100.000	100	89	89	1	89	8720967	8720879	1.22e-38	161	  Chromosome 2   Complete=T   Circular=F   OriSeqID=Chr02   Len=52160593
gma-MIR1512c	Chr02	GWHAAEV00000002.1	8711833	8711936	minus	100.000	100	104	104	1	104	8711936	8711833	1.10e-46	188	  Chromosome 2   Complete=T   Circular=F   OriSeqID=Chr02   Len=52160593
gma-MIR1513a	Chr07	GWHAAEV00000007.1	45125917	45126009	plus	98.925	100	93	93	1	93	45125917	45126009	3.74e-39	164	  Chromosome 7   Complete=T   Circular=F   OriSeqID=Chr07   Len=46590119
gma-MIR1513b	Chr20	GWHAAEV00000020.1	228279	228348	minus	100.000	100	70	70	1	70	228348	228279	1.74e-28	127	  Chromosome 20   Complete=T   Circular=F   OriSeqID=Chr20   Len=52284028
gma-MIR1513c	Chr17	GWHAAEV00000017.1	1415494	1415584	minus	100.000	100	91	91	1	91	1415584	1415494	1.04e-39	165	  Chromosome 17   Complete=T   Circular=F   OriSeqID=Chr17   Len=42350739
gma-MIR1514a	Chr07	GWHAAEV00000007.1	45057357	45057455	minus	100.000	100	99	99	1	99	45057455	45057357	5.31e-44	179	  Chromosome 7   Complete=T   Circular=F   OriSeqID=Chr07   Len=46590119
gma-MIR1514b	Chr17	GWHAAEV00000017.1	1516009	1516117	plus	100.000	100	109	109	1	109	1516009	1516117	2.23e-49	197	  Chromosome 17   Complete=T   Circular=F   OriSeqID=Chr17   Len=42350739
gma-MIR1515a	Chr01	GWHAAEV00000001.1	51867360	51867504	plus	100.000	100	145	145	1	145	51867360	51867504	9.26e-69	262	  Chromosome 1   Complete=T   Circular=F   OriSeqID=Chr01   Len=59249829
gma-MIR1515b	Chr11	GWHAAEV00000011.1	6661757	6661897	minus	99.291	100	141	141	1	141	6661897	6661757	5.64e-65	251	  Chromosome 11   Complete=T   Circular=F   OriSeqID=Chr11   Len=40746315
gma-MIR1516a	Chr03	GWHAAEV00000003.1	46893042	46893152	plus	100.000	100	111	111	1	111	46893042	46893152	1.88e-50	201	  Chromosome 3   Complete=T   Circular=F   OriSeqID=Chr03   Len=47695029
