Name Accession Chromosome Start End Strand Confidence
gma-MIR156a MI0001784 chr17 5885507 5885628 - -
gma-MIR156aa MI0021680 chr16 2833375 2833561 - -
gma-MIR156ab MI0021681 chr7 5415191 5415378 + -
gma-MIR156b MI0001790 chr14 992155 992274 + -
gma-MIR156c MI0001772 chr16 5359989 5360173 - -
gma-MIR156d MI0001770 chr8 3896578 3896728 + -
gma-MIR156e MI0001771 chr18 57144436 57144559 - -
gma-MIR156f MI0016559 chr2 47699715 47699820 - -
gma-MIR156g MI0016580 chr19 8868796 8868913 - -
gma-MIR156h MI0017819 chr4 5047205 5047294 - -
gma-MIR156i MI0017820 chr5 41728607 41728736 + -
gma-MIR156j MI0018651 chr2 7901956 7902058 + -
gma-MIR156k MI0018652 chr6 4705086 4705177 - -
gma-MIR156l MI0018653 chr7 9384146 9384266 + -
gma-MIR156m MI0018654 chr9 40437756 40437870 - -
gma-MIR156n MI0018655 chr14 10456738 10456826 - -
gma-MIR156o MI0018656 chr17 37469976 37470065 + -
gma-MIR156p MI0019741 chr11 462200 462299 - -
gma-MIR156q MI0019748 chr13 22074983 22075087 + -
gma-MIR156r MI0019757 chr16 6633951 6634116 + -
gma-MIR156s MI0019761 chr17 4021217 4021350 - -
gma-MIR156t MI0019770 chr1 56198440 56198539 + -
gma-MIR156u MI0021674 chr2 38792955 38793054 + -
gma-MIR156v MI0021675 chr4 4306348 4306451 + -
gma-MIR156w MI0021676 chr6 4047089 4047194 + -
gma-MIR156x MI0021677 chr14 9223981 9224092 + -
gma-MIR156y MI0021678 chr17 38139717 38139822 - -
gma-MIR156z MI0021679 chr7 5432656 5432842 - -
gma-MIR159a MI0001773 chr9 40266722 40266935 + -
gma-MIR159b MI0007206 chr7 5424789 5424974 - -
gma-MIR159c MI0007207 chr16 2830034 2830218 - -
gma-MIR159d MI0016581     -
gma-MIR159e MI0018657 chr7 9561934 9562144 - -
gma-MIR159f MI0018658 chr16 2819636 2819815 - -
gma-MIR160a MI0001774 chr10 44431708 44431826 - -
gma-MIR160b MI0017821 chr20 41668766 41668855 + -
gma-MIR160c MI0017822 chr19 43999110 43999200 - -
gma-MIR160d MI0017823 chr13 25235556 25235646 - -
gma-MIR160e MI0017824 chr3 39255811 39255900 - -
gma-MIR160f MI0021682 chr10 4750208 4750304 - -
gma-MIR162a MI0007208 chr6 20376062 20376163 - -
gma-MIR162b MI0017825 chr5 1431946 1432055 + -
gma-MIR162c MI0018659 chr17 9894786 9894904 + -
gma-MIR164a MI0007209 chr19 49681250 49681344 + -
gma-MIR164b MI0017826 chr10 1558481 1558570 + -
gma-MIR164c MI0017827 chr3 5194846 5194935 - -
gma-MIR164d MI0017828 chr10 38618021 38618110 + -
gma-MIR164e MI0021683 chr2 1535426 1535520 + -
gma-MIR164f MI0021684 chr3 43533079 43533181 + -
gma-MIR164g MI0021685 chr3 44895293 44895384 + -
gma-MIR164h MI0021686 chr9 49456787 49456944 - -
gma-MIR164i MI0021687 chr18 49506475 49506631 + -
gma-MIR164j MI0021688 chr19 48278744 48278831 + -
gma-MIR164k MI0021689 chr20 46912450 46912558 - -
