Query_A	Query_B	Chr	Strand	A_start	A_end	B_start	B_end	Overlap_bp	Overlap_over_min_len
Gma-MIR10190|PmiREN0012473|Gm10:49079588-49079842(-)	Gma-MIR10190a|PmiREN0012580|Gm10:49079579-49079849(-)	Chr10	minus	51530895	51531126	51530896	51531125	230	1.0000
Gma-MIR10198|PmiREN0012488|Gm03:8845596-8845843(+)	Gma-MIR10198a|PmiREN0012583|Gm03:8845595-8845863(+)	Chr03	plus	8721144	8721369	8721143	8721370	226	1.0000
Gma-MIR10198|PmiREN0012488|Gm03:8845596-8845843(+)	Gma-MIR10198i|PmiREN0012592|scaffold_105:25657-25925(-)	Chr03	plus	8721144	8721369	8721143	8721370	226	1.0000
Gma-MIR10198|PmiREN0012488|Gm03:8845596-8845843(+)	Gma-MIR10198j|PmiREN0012591|scaffold_253:1895-2163(-)	Chr03	plus	8721144	8721369	8721143	8721370	226	1.0000
Gma-MIR10198a|PmiREN0012583|Gm03:8845595-8845863(+)	Gma-MIR10198i|PmiREN0012592|scaffold_105:25657-25925(-)	Chr03	plus	8721143	8721370	8721143	8721370	228	1.0000
Gma-MIR10198a|PmiREN0012583|Gm03:8845595-8845863(+)	Gma-MIR10198j|PmiREN0012591|scaffold_253:1895-2163(-)	Chr03	plus	8721143	8721370	8721143	8721370	228	1.0000
Gma-MIR10198b|PmiREN0012584|Gm03:8912088-8912360(+)	Gma-MIR10198f|PmiREN0012588|Gm03:9065241-9065513(+)	Chr03	plus	8971468	8971699	8971468	8971699	232	1.0000
Gma-MIR10198b|PmiREN0012584|Gm03:8912088-8912360(+)	Gma-MIR10198g|PmiREN0012589|Gm03:9066263-9066535(+)	Chr03	plus	8971468	8971699	8971468	8971699	232	1.0000
Gma-MIR10198b|PmiREN0012584|Gm03:8912088-8912360(+)	Gma-MIR10198h|PmiREN0012590|Gm03:9137489-9137761(+)	Chr03	plus	8971468	8971699	8971468	8971699	232	1.0000
Gma-MIR10198c|PmiREN0012585|Gm03:9009792-9010061(+)	Gma-MIR10198e|PmiREN0012587|Gm03:9046337-9046606(+)	Chr03	plus	8885778	8886006	8885778	8886006	229	1.0000
Gma-MIR10198f|PmiREN0012588|Gm03:9065241-9065513(+)	Gma-MIR10198g|PmiREN0012589|Gm03:9066263-9066535(+)	Chr03	plus	8971468	8971699	8971468	8971699	232	1.0000
