miRNA_locus_ID	miRNA_locus_accession	miRNA_family	Organism	Chromosome	Start	End	Strand
Gma-MIR156a	PmiREN006718	MIR156	Glycine max	Gma-Gm17	6149960	6150084	-
Gma-MIR156b	PmiREN006720	MIR156	Glycine max	Gma-Gm14	990333	990459	+
Gma-MIR156c	PmiREN006722	MIR156	Glycine max	Gma-Gm03	34774765	34775017	+
Gma-MIR156d	PmiREN006723	MIR156	Glycine max	Gma-Gm13	36512775	36513031	+
Gma-MIR156e	PmiREN006737	MIR156	Glycine max	Gma-Gm17	38431855	38431985	-
Gma-MIR156f	PmiREN006724	MIR156	Glycine max	Gma-Gm02	50779218	50779344	-
Gma-MIR156g	PmiREN006719	MIR156	Glycine max	Gma-Gm16	2807858	2808059	-
Gma-MIR156h	PmiREN006725	MIR156	Glycine max	Gma-Gm04	4990842	4990964	-
Gma-MIR156i	PmiREN006736	MIR156	Glycine max	Gma-Gm14	9431588	9431718	+
Gma-MIR156j	PmiREN006726	MIR156	Glycine max	Gma-Gm06	4699132	4699255	-
Gma-MIR156k	PmiREN006727	MIR156	Glycine max	Gma-Gm14	10664494	10664616	-
Gma-MIR156l	PmiREN006728	MIR156	Glycine max	Gma-Gm17	37759430	37759552	+
Gma-MIR156m	PmiREN006729	MIR156	Glycine max	Gma-Gm11	453202	453321	-
Gma-MIR156n	PmiREN006730	MIR156	Glycine max	Gma-Gm13	20521452	20521578	+
Gma-MIR156o	PmiREN006731	MIR156	Glycine max	Gma-Gm17	4291649	4291772	-
Gma-MIR156p	PmiREN006732	MIR156	Glycine max	Gma-Gm01	55282662	55282781	+
Gma-MIR156q	PmiREN006733	MIR156	Glycine max	Gma-Gm02	41864154	41864278	+
Gma-MIR156r	PmiREN006734	MIR156	Glycine max	Gma-Gm04	4257047	4257175	+
Gma-MIR156s	PmiREN006735	MIR156	Glycine max	Gma-Gm06	4013560	4013688	+
Gma-MIR157a	PmiREN006739	MIR157	Glycine max	Gma-Gm02	7812516	7812643	+
Gma-MIR157b	PmiREN006740	MIR157	Glycine max	Gma-Gm18	61442576	61442702	-
Gma-MIR157c	PmiREN006741	MIR157	Glycine max	Gma-Gm19	28821797	28821964	-
Gma-MIR157d	PmiREN006742	MIR157	Glycine max	Gma-Gm05	38621675	38621826	-
Gma-MIR157e	PmiREN006743	MIR157	Glycine max	Gma-Gm07	9347129	9347273	+
Gma-MIR157f	PmiREN006744	MIR157	Glycine max	Gma-Gm08	3891352	3891505	+
Gma-MIR157g	PmiREN006745	MIR157	Glycine max	Gma-Gm09	37843737	37843877	-
Gma-MIR157h	PmiREN006746	MIR157	Glycine max	Gma-Gm16	6487189	6487312	+
Gma-MIR157i	PmiREN006747	MIR157	Glycine max	Gma-Gm19	8895378	8895503	-
Gma-MIR159a	PmiREN006748	MIR159	Glycine max	Gma-Gm09	37672393	37672605	+
Gma-MIR159b	PmiREN006749	MIR159	Glycine max	Gma-Gm07	5386097	5386300	-
Gma-MIR159c	PmiREN006750	MIR159	Glycine max	Gma-Gm16	2804493	2804577	-
Gma-MIR159d	PmiREN006751	MIR159	Glycine max	Gma-Gm06	49544926	49545018	+
Gma-MIR159e	PmiREN006752	MIR159	Glycine max	Gma-Gm07	9524916	9525128	-
